"Generate and save api key","Generate and save api key"
"General Settings","General Settings"
"ShipStation Api Key","ShipStation Api Key"
"Price Export Type","Price Export Type"
"Import Discounts","Import Discounts"
"Export custom attributes as custom options","Export custom attributes as custom options"
"Import Child Products","Import Child Products"
"Custom/Auto Invoicing Enabled","Custom/Auto Invoicing Enabled"
"ShipStation Managed Shipping","ShipStation Managed Shipping"
"Enabled","Enabled"
"Sort Order","Sort Order"
"Title","Title"
"Show Method if Not Applicable","Show Method if Not Applicable"
"Displayed Error Message","Displayed Error Message"
"Authentication failed","Authentication failed"
"Invalid action.","Invalid action."
"This shipping method is not available. To use this shipping method, please contact us.","This shipping method is not available. To use this shipping method, please contact us."
"Input Xml contains errors and couldn't be parsed.","Input Xml contains errors and couldn't be parsed."
"Store Price","Store Price"
"Base Price","Base Price"
"The ShipStation Shipping Rates plugin has been installed but not configured. Please log in to ShipStation and configure Magento from there. This message can be removed by disabling ShipStation in the Shipping Methods configuration.","The ShipStation Shipping Rates plugin has been installed but not configured. Please log in to ShipStation and configure Magento from there. This message can be removed by disabling ShipStation in the Shipping Methods configuration."
"Order '%1' does not exist","Order '%1' does not exist"
"Shipment can not be created for Order : %1","Shipment can not be created for Order : %1"
"estimated transit days","estimated transit days"
